,‰·“x,Ž¼“x
2016/1/23 2:32,23.449003,32.299995
2016/1/23 2:33,23.475792,32.24526
2016/1/23 2:34,23.476002,32.240997
2016/1/23 2:35,23.4605,32.239998
2016/1/23 2:36,23.463503,32.239998
2016/1/23 2:37,23.448503,32.239998
2016/1/23 2:38,23.451582,32.239998
2016/1/23 2:39,23.456003,32.239998
2016/1/23 2:40,23.448503,32.239998
2016/1/23 2:41,23.442005,32.239998
2016/1/23 2:42,23.464005,32.239998
2016/1/23 2:43,23.468502,32.239998
2016/1/23 2:44,23.462635,32.239998
2016/1/23 2:45,23.470005,32.239998
2016/1/23 2:46,23.461002,32.239998
2016/1/23 2:47,23.438503,32.239998
2016/1/23 2:48,23.407001,32.290005
2016/1/23 2:49,23.372633,32.340004
2016/1/23 2:50,23.359001,32.340004
2016/1/23 2:51,23.378502,32.340004
2016/1/23 2:52,23.3945,32.340004
2016/1/23 2:53,23.3745,32.340004
2016/1/23 2:54,23.3815,32.340004
2016/1/23 2:55,23.397367,32.340004
2016/1/23 2:56,23.384998,32.340004
2016/1/23 2:57,23.34,32.340004
2016/1/23 2:58,23.3695,32.340004
2016/1/23 2:59,23.366,32.340004
2016/1/23 3:00,23.366844,32.340004
2016/1/23 3:01,23.365,32.340004
2016/1/23 3:02,23.365,32.340004
2016/1/23 3:03,23.368,32.340004
2016/1/23 3:04,23.359,32.340004
2016/1/23 3:05,23.356998,32.340004
2016/1/23 3:06,23.367893,32.340004
2016/1/23 3:07,23.362501,32.340004
2016/1/23 3:08,23.301003,32.355003
2016/1/23 3:09,23.275002,32.44
2016/1/23 3:10,23.284,32.44
2016/1/23 3:11,23.305792,32.44
2016/1/23 3:12,23.302004,32.425
2016/1/23 3:13,23.325,32.380005
2016/1/23 3:14,23.296503,32.370003
2016/1/23 3:15,23.312004,32.420002
2016/1/23 3:16,23.295267,32.361053
2016/1/23 3:17,23.300005,32.355003
2016/1/23 3:18,23.303003,32.405003
2016/1/23 3:19,23.306505,32.340004
2016/1/23 3:20,23.309004,32.340004
2016/1/23 3:21,23.3355,32.340004
2016/1/23 3:22,23.302635,32.340004
2016/1/23 3:23,23.275003,32.340004
2016/1/23 3:24,23.265501,32.41
2016/1/23 3:25,23.285503,32.425003
2016/1/23 3:26,23.285002,32.395
2016/1/23 3:27,23.261581,32.42421
